台灣頻道,#genre#
中天新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv009
TVBS新聞台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv072
東森新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv152
民視新聞台,http://tv543.cc/litv.php?token=leifeng&id=litv-ftv13
鏡新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv075
非凡新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv010
台視新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv051
華視新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv052
中視新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv074
寰宇新聞台,http://tv543.cc/litv.php?token=leifeng&id=litv-longturn14
寰宇新聞台灣台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv156
半島新聞,http://tv543.cc/litv.php?token=leifeng&id=litv-ftv10
美國之音,http://tv543.cc/litv.php?token=leifeng&id=litv-ftv03
東森財經新聞,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv153
非凡商業台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv048
台視財經,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv056
第1商業台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv104
TVBS,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv073
台視,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv066
中視,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv040
華視,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv041
民視,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv002
民視,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv155
民視台灣台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv001
民視第一台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv003
中天亞洲台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv109
靖天綜合台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv046
靖天國際台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv063
靖天資訊台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv065
客家電視台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv043
阿里郎,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv079
國會頻道1,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv084
國會頻道2,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv085
TVBS歡樂台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv068
TVBS精采台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv067
愛爾達娛樂,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv070
民視綜藝台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv004
八大綜藝台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv039
八大精彩台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv034
靖天歡樂台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv054
靖天育樂台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv062
中視菁采台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv064
豬哥亮歌廳秀,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv006
影迷數位電影台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv011
amc電影台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv017
靖天電影台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv061
靖天映畫,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv055
采昌影劇台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv049
民視影劇,http://tv543.cc/litv.php?token=leifeng&id=litv-ftv09
龍華電影,http://tv543.cc/litv.php?token=leifeng&id=litv-longturn03
龍華洋片,http://tv543.cc/litv.php?token=leifeng&id=litv-longturn02
